uri;artist;track
spotify:track:4hQ6UGyWQIGJmHSo0J88JW;Selena Gomez;Back To You - From 13 Reasons Why – Season 2 Soundtrack
spotify:track:5N5k9nd479b1xpDZ4usjrg;Calvin Harris;Promises (with Sam Smith)
spotify:track:72gemWtPeCOrRnX4PhjNNk;Capital Bra;5 Songs in einer Nacht
spotify:track:3MrTi2XjvQCZm8V1P1ryuR;Samra;Cataleya
spotify:track:7r55d7IhAj5UGKiYbXBwRP;Capital Bra;Prinzessa
spotify:track:1xzBco0xcoJEDXktl7Jxrr;Sheck Wes;Mo Bamba
spotify:track:66BjcDhhwWCcQIBxHMpKXh;David Guetta;Flames
spotify:track:1LcvTvRfWrQjrF6aymfugd;Luciano;Meer
spotify:track:0dmrz4V5kiezQAqQ3VqGob;MERO;Hobby Hobby
spotify:track:43zdsphuZLzwA9k4DJhU0I;Billie Eilish;when the party's over
spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL;BlocBoy JB;Look Alive (feat. Drake)
spotify:track:0kHyKhJMukHEPfeh8s7rdM;Kygo;Born To Be Yours
spotify:track:5UtiebKGhsSce9gX1qCqic;Loredana;BONNIE & CLYDE
spotify:track:4iVVU8DyQvOVsKafv3KWIF;Tom Walker;Leave a Light On
spotify:track:1BFmBgVOnLy3Ekrxz1lBOK;Alvaro Soler;La Cintura
spotify:track:4tW7mc0pab35DznfVlr3px;Capital Bra;Allein
spotify:track:6MWtB6iiXyIwun0YzU6DFP;Post Malone;Wow.
spotify:track:60SdxE8apGAxMiRrpbmLY0;Eminem;Lucky You (feat. Joyner Lucas)
spotify:track:09IStsImFySgyp0pIQdqAc;Zedd;The Middle
spotify:track:3KkXRkHbMCARz0aVfEt68P;Post Malone;Sunflower - Spider-Man: Into the Spider-Verse
spotify:track:2RSHsoi04658QL5xgQVov3;Imagine Dragons;Bad Liar
spotify:track:4Nip6oiJU24LqcUEi7u19S;KitschKrieg;Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)
spotify:track:0TlLq3lA83rQOYtrqBqSct;Drake;Nonstop
spotify:track:4PwQl3zVNOg1NUZzTOux8S;Luciano;Ballin
spotify:track:2hIY4sjfMeKwXXh2LvhrMo;Bausa;Was du Liebe nennst
spotify:track:5ODK0R10oNrzGrZxRzwHvR;Azet;Überlebt
spotify:track:2ijef6ni2amuunRoKTlgww;Becky G;Sin Pijama
spotify:track:61A9J4906Zkuqd22oasZVR;Azet;Lelele
spotify:track:3FHppoOv1gMexzC9XyMCFz;Eno;Mercedes
