uri;artist;track
spotify:track:08bNPGLD8AhKpnnERrAc6G;Marshmello;FRIENDS
spotify:track:20ZP3Om9DvDazXrNUC7WM2;Rudimental;These Days (feat. Jess Glynne, Macklemore & Dan Caplen)
spotify:track:7FGq80cy8juXBCD2nrqdWU;benny blanco;Eastside (with Halsey & Khalid)
spotify:track:3V8UKqhEK5zBkBb6d6ub8i;Nio Garcia;Te Boté - Remix
spotify:track:5p7ujcrUXASCNwRaWNHR1C;Halsey;Without Me
spotify:track:2xLMifQCjDGFmkHkpNLD9h;Travis Scott;SICKO MODE
spotify:track:7KPGeiXWDsGEvFK62wzU8E;Capital Bra;Benzema
spotify:track:1MUL6DO2gVimj2YrVedubd;GASHI;Creep On Me
spotify:track:2eNSyVH3sNPiAj9WpRYK73;RIN;Dior 2001
spotify:track:1NJcg626wLln4pGHpiV7mf;Billie Eilish;lovely
spotify:track:2iUXsYOEPhVqEBwsqP70rE;5 Seconds of Summer;Youngblood
spotify:track:7m9OqQk4RVRkw9JJdeAw96;XXXTENTACION;Jocelyn Flores
spotify:track:4QIyEq7TcTdAcxjI2AFlAK;6ix9ine;FEFE (feat. Nicki Minaj, Murda Beatz)
spotify:track:0oZyouBDStcJEUbTmSfys2;Dardan;Facetime
spotify:track:6ocbgoVGwYJhOv1GgI9NsF;Ariana Grande;7 rings
spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z;Kodak Black;ZEZE (feat. Travis Scott & Offset)
spotify:track:2VxeLyX666F8uXCJ0dZF8B;Lady Gaga;Shallow
spotify:track:2BgEsaKNfHUdlh97KmvFyo;Anne-Marie;2002
spotify:track:0jB0RNZIfaihaDKNmdrI40;Summer Cem;Casanova
spotify:track:2qT1uLXPVPzGgFOx4jtEuo;Ariana Grande;no tears left to cry
spotify:track:1zl1smQ584EZKCfLVeYWNq;Capital Bra;Berlin lebt
spotify:track:7sKDftgGirHWTVFMtJoDoh;Aya Nakamura;Djadja
spotify:track:2FY7b99s15jUprqC0M5NCT;Imagine Dragons;Natural
spotify:track:4HIv1dRF270YMyfvuxnF0d;Bonez MC;Risiko
spotify:track:3CA9pLiwRIGtUBiMjbZmRw;Drake;Nice For What
spotify:track:3swc6WTsr7rl9DqQKQA55C;Post Malone;Psycho (feat. Ty Dolla $ign)
spotify:track:4Bj3usjRTckEJARO0dLbDf;Bonez MC;Kokain
spotify:track:3e9HZxeyfWwjeyPAMmWSSQ;Ariana Grande;thank u, next
spotify:track:2LskIZrCeLxRvCiGP8gxlh;XXXTENTACION;Arms Around You (feat. Maluma & Swae Lee)
spotify:track:2PAYSgrVOBz8RJqp9B7QLu;Sido;Tausend Tattoos
spotify:track:4S8d14HvHb70ImctNgVzQQ;Kanye West;I Love It (& Lil Pump)
spotify:track:4ofwffwvvnbSkrMSCKQDaC;George Ezra;Shotgun
spotify:track:2U5cq89GCnsR1yixKkC8d5;Ramz;Barking
spotify:track:4kWO6O1BUXcZmaxitpVUwp;Tiësto;Jackie Chan
spotify:track:5Vwqy3CS2aCB6jcgm1qWfk;Takagi & Ketra;Amore e Capoeira
spotify:track:2QZ7WLBE8h2y1Y5Fb8RYbH;Shawn Mendes;In My Blood
spotify:track:0WxiQqTcK3ZErx2mMWgtm6;Lartiste;Mafiosa (feat. Caroliina)
spotify:track:0eKKoqxVuKTQAfzNXlCeCD;Bushido;Für Euch alle (feat. Samra & Capital Bra)
spotify:track:1fyvQWmRbW81M0xXKI1Rrk;Noizy;Toto (feat. RAF Camora)
spotify:track:6xTU6B6nFwKKTSZ9ySXS80;Kygo;Remind Me to Forget
