,speechiness,danceability,energy,valence,acousticness,liveness,popularity,tempo,duration
gen_boomer,0.06875699999999998,0.6398,0.6149401999999999,0.525176,0.26899876999999994,0.18908100000000005,71.56,113.57911000000006,228427.69
gen_x,0.086259,0.6703600000000002,0.6480699999999997,0.48543999999999987,0.2202218199999999,0.17091599999999996,72.43,114.08357000000002,216141.54
gen_y,0.10597599999999996,0.70611,0.6797099999999999,0.4887729999999997,0.19450389999999998,0.15961899999999998,74.26,113.74485000000004,207594.26
gen_z,0.140021,0.7211799999999999,0.6461099999999999,0.481063,0.23375269999999998,0.15274900000000002,72.89,114.77119,199376.87
